experiment_id,dataset_family,investigation_id,original_test_id,fuel_material,material_category,sample_description,oxygen_pct,pressure_mmhg,pressure_kpa,burn_time_s,extinction_outcome,extinction_diameter_mm,initial_diameter_mm,burning_rate_mms,airflow_velocity_cms,flame_temp_k,gravity_condition,ignition_power_w,ignition_time_s,co2_pct,co_ppm,test_date,source_name,source_url,notes
FLEX-163,FLEX,PSI-69,163,Methanol,Liquid Droplet,Droplet initial diameter: 2.59 mm,15.0,765.9,102.11,11.6,Extinction,1.63,2.59,0.37,0.0,1400.0,Microgravity (~0g),,,,,12/28/10,NASA Physical Sciences Informatics (PSI),https://psi.nasa.gov/physci/repo/data/investigations/PSI-69,FLEX ID: C06M301. Extinction diameter: 1.63 mm. Burning rate: 0.37 mm/s.
FLEX-164,FLEX,PSI-69,164,Methanol,Liquid Droplet,Droplet initial diameter: 2.59 mm,15.0,766.1,102.14,8.9,Extinction,1.79,2.59,0.42,0.0,1400.0,Microgravity (~0g),,,,,12/28/10,NASA Physical Sciences Informatics (PSI),https://psi.nasa.gov/physci/repo/data/investigations/PSI-69,FLEX ID: C06M401. Extinction diameter: 1.79 mm. Burning rate: 0.42 mm/s.
FLEX-165,FLEX,PSI-69,165,Heptane,Liquid Droplet,Droplet initial diameter: 1.96 mm,18.0,765.4,102.04,3.9,Extinction,1.39,1.96,0.54,0.0,1400.0,Microgravity (~0g),,,,,12/9/2010,NASA Physical Sciences Informatics (PSI),https://psi.nasa.gov/physci/repo/data/investigations/PSI-69,FLEX ID: C03H302. Extinction diameter: 1.39 mm. Burning rate: 0.54 mm/s.
FLEX-166,FLEX,PSI-69,166,Methanol,Liquid Droplet,Droplet initial diameter: 3.22 mm,14.0,760.8,101.43,3.4,Extinction,3.08,3.22,0.28,0.0,1400.0,Microgravity (~0g),,,,,1/12/2011,NASA Physical Sciences Informatics (PSI),https://psi.nasa.gov/physci/repo/data/investigations/PSI-69,FLEX ID: C07M101. Extinction diameter: 3.08 mm. Burning rate: 0.28 mm/s.
FLEX-167,FLEX,PSI-69,167,Methanol,Liquid Droplet,Droplet initial diameter: 2.32 mm,14.0,761.6,101.54,5.9,Extinction,1.84,2.32,0.37,0.0,1400.0,Microgravity (~0g),,,,,1/12/2011,NASA Physical Sciences Informatics (PSI),https://psi.nasa.gov/physci/repo/data/investigations/PSI-69,FLEX ID: C07M201. Extinction diameter: 1.84 mm. Burning rate: 0.37 mm/s.
FLEX-168,FLEX,PSI-69,168,Methanol,Liquid Droplet,Droplet initial diameter: 3.03 mm,21.0,763.4,101.78,15.6,Disruption,1.57,3.03,0.48,0.0,1250.0,Microgravity (~0g),,,,,1/18/2011,NASA Physical Sciences Informatics (PSI),https://psi.nasa.gov/physci/repo/data/investigations/PSI-69,FLEX ID: C15M101. Extinction diameter: 1.57 mm. Burning rate: 0.48 mm/s.
FLEX-169,FLEX,PSI-69,169,Methanol,Liquid Droplet,Droplet initial diameter: 3.05 mm,21.0,766.1,102.14,16.7,Extinction,1.28,3.05,0.51,0.0,1400.0,Microgravity (~0g),,,,,1/18/2011,NASA Physical Sciences Informatics (PSI),https://psi.nasa.gov/physci/repo/data/investigations/PSI-69,FLEX ID: C15M201. Extinction diameter: 1.28 mm. Burning rate: 0.51 mm/s.
FLEX-170,FLEX,PSI-69,170,Methanol,Liquid Droplet,Droplet initial diameter: 3.53 mm,21.0,766.7,102.22,23.6,Extinction,1.59,3.53,0.46,0.0,1400.0,Microgravity (~0g),,,,,1/18/2011,NASA Physical Sciences Informatics (PSI),https://psi.nasa.gov/physci/repo/data/investigations/PSI-69,FLEX ID: C15M301. Extinction diameter: 1.59 mm. Burning rate: 0.46 mm/s.
FLEX-171,FLEX,PSI-69,171,Heptane,Liquid Droplet,Droplet initial diameter: 3.74 mm,18.0,759.9,101.31,2.8,Extinction,3.68,3.74,0.35,0.0,1400.0,Microgravity (~0g),,,,,2/21/2011,NASA Physical Sciences Informatics (PSI),https://psi.nasa.gov/physci/repo/data/investigations/PSI-69,FLEX ID: C03H501. Extinction diameter: 3.68 mm. Burning rate: 0.35 mm/s.
FLEX-172,FLEX,PSI-69,172,Heptane,Liquid Droplet,Droplet initial diameter: 2.4 mm,18.0,762.0,101.59,4.4,Extinction,1.96,2.4,0.46,0.0,1400.0,Microgravity (~0g),,,,,2/21/2011,NASA Physical Sciences Informatics (PSI),https://psi.nasa.gov/physci/repo/data/investigations/PSI-69,FLEX ID: C03H601. Extinction diameter: 1.96 mm. Burning rate: 0.46 mm/s.
